CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
1,IPC,379,1,1
2,IPC,323,1,1
3,IPC,395,1,1
4,MVA,279,1,1
5,KPA,110,1,1
6,ITA,66C,1,1
7,IPC,354,1,1
8,ITA,66C,1,1
9,ITA,66C,1,1
10,IPC,420,1,1
10,ITA,66D,2,2
10,BNS,318,3,3
11,IPC,379,1,1
12,IPC,379,1,1
12,BNS,303,2,2
13,IPC,465,1,1
14,IPC,420,1,1
15,IPC,420,1,1
16,MVA,279,1,1
17,IPC,323,1,1
18,IPC,392,1,1
19,IPC,498A,1,1
20,IPC,379,1,1
20,BNS,303,2,2
21,IPC,379,1,1
22,IPC,379,1,1
22,BNS,303,2,2
23,IPC,420,1,1
23,ITA,66D,2,2
24,IPC,323,1,1
25,ITA,67,1,1
25,ITA,66D,2,2
26,IPC,379,1,1
27,IPC,323,1,1
27,IPC,325,2,2
27,BNS,115,3,3
28,IPC,363,1,1
29,IPC,392,1,1
30,IPC,457,1,1
31,NDPS,20,1,1
32,IPC,354,1,1
33,IPC,379,1,1
34,IPC,498A,1,1
35,IPC,323,1,1
36,IPC,420,1,1
36,ITA,66D,2,2
37,IPC,379,1,1
38,IPC,457,1,1
39,IPC,420,1,1
39,ITA,66D,2,2
39,BNS,318,3,3
40,IPC,420,1,1
40,ITA,66D,2,2
41,IPC,498A,1,1
42,IPC,307,1,1
42,BNS,109,2,2
43,IPC,457,1,1
43,IPC,380,2,2
44,IPC,363,1,1
45,IPC,354,1,1
46,IPC,379,1,1
47,IPC,420,1,1
48,IPC,465,1,1
49,IPC,363,1,1
50,IPC,420,1,1
50,BNS,318,2,2
51,IPC,379,1,1
51,BNS,303,2,2
52,IPC,392,1,1
52,BNS,309,2,2
53,IPC,379,1,1
53,BNS,303,2,2
54,IPC,420,1,1
54,BNS,318,2,2
55,IPC,420,1,1
56,IPC,379,1,1
57,IPC,323,1,1
57,IPC,325,2,2
58,IPC,457,1,1
58,IPC,380,2,2
59,IPC,323,1,1
59,BNS,115,2,2
60,IPC,379,1,1
61,IPC,379,1,1
61,BNS,303,2,2
62,IPC,379,1,1
62,BNS,303,2,2
63,MVA,279,1,1
64,IPC,379,1,1
65,IPC,379,1,1
66,IPC,379,1,1
67,IPC,307,1,1
67,BNS,109,2,2
68,IPC,363,1,1
69,MVA,279,1,1
70,IPC,420,1,1
71,IPC,323,1,1
72,ITA,66C,1,1
73,IPC,498A,1,1
74,IPC,465,1,1
75,IPC,420,1,1
75,ITA,66D,2,2
75,BNS,318,3,3
76,MVA,279,1,1
77,IPC,379,1,1
77,IPC,392,2,2
78,IPC,379,1,1
78,BNS,303,2,2
79,IPC,302,1,1
79,BNS,103,2,2
80,IPC,379,1,1
80,BNS,303,2,2
81,MVA,279,1,1
82,IPC,457,1,1
83,IPC,498A,1,1
84,IPC,379,1,1
85,ITA,66C,1,1
85,ITA,66D,2,2
86,IPC,379,1,1
87,IPC,457,1,1
87,IPC,380,2,2
88,IPC,457,1,1
89,IPC,392,1,1
90,NDPS,20,1,1
91,IPC,379,1,1
92,IPC,379,1,1
92,BNS,303,2,2
93,MVA,185,1,1
94,IPC,457,1,1
95,IPC,420,1,1
95,ITA,66D,2,2
96,IPC,392,1,1
97,IPC,302,1,1
97,BNS,103,2,2
98,IPC,379,1,1
98,BNS,303,2,2
99,IPC,420,1,1
99,BNS,318,2,2
100,IPC,323,1,1
101,IPC,379,1,1
101,BNS,303,2,2
102,IPC,379,1,1
103,IPC,379,1,1
104,IPC,420,1,1
105,IPC,379,1,1
106,IPC,323,1,1
106,IPC,325,2,2
107,IPC,395,1,1
107,BNS,310,2,2
108,IPC,420,1,1
108,BNS,318,2,2
109,IPC,498A,1,1
110,IPC,379,1,1
110,BNS,303,2,2
111,IPC,420,1,1
111,ITA,66D,2,2
111,BNS,318,3,3
112,IPC,379,1,1
113,IPC,379,1,1
113,BNS,303,2,2
114,IPC,420,1,1
115,ITA,66C,1,1
115,ITA,66D,2,2
116,IPC,457,1,1
117,IPC,379,1,1
118,IPC,307,1,1
118,BNS,109,2,2
119,IPC,379,1,1
120,IPC,354,1,1
121,IPC,379,1,1
122,IPC,323,1,1
122,BNS,115,2,2
123,MVA,279,1,1
124,IPC,457,1,1
125,IPC,379,1,1
126,IPC,420,1,1
126,ITA,66D,2,2
127,IPC,420,1,1
127,ITA,66D,2,2
127,BNS,318,3,3
128,MVA,185,1,1
129,IPC,323,1,1
129,BNS,115,2,2
130,IPC,323,1,1
131,IPC,457,1,1
131,IPC,380,2,2
132,IPC,392,1,1
132,BNS,309,2,2
133,IPC,457,1,1
133,IPC,380,2,2
134,IPC,354,1,1
135,IPC,354,1,1
136,IPC,465,1,1
137,IPC,379,1,1
137,BNS,303,2,2
138,IPC,323,1,1
138,IPC,325,2,2
138,BNS,115,3,3
139,IPC,420,1,1
139,ITA,66D,2,2
140,IPC,354,1,1
141,IPC,307,1,1
141,BNS,109,2,2
142,IPC,363,1,1
