ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
1,7,1,2026-05-10,1,10,217,986,10,6,1,0
2,7,1,2026-05-06,1,10,217,986,10,7,1,0
3,7,1,2026-04-02,1,10,217,986,10,8,1,0
4,11,1,2026-04-26,1,13,236,1072,13,10,1,0
5,17,1,2025-08-22,1,1,117,538,1,13,1,0
6,18,1,2026-01-28,1,9,210,955,9,14,1,0
7,28,1,2024-09-13,1,1,84,376,1,22,1,0
8,29,1,2024-02-28,1,1,5,20,1,23,1,0
9,39,1,2024-04-01,1,9,213,972,9,31,1,0
10,40,1,2024-09-15,1,3,145,663,3,32,1,0
11,46,1,2024-04-10,1,23,274,1235,23,38,1,0
12,47,1,2024-12-08,1,1,62,281,1,39,1,0
13,51,1,2024-01-30,1,13,233,1059,13,43,1,1
14,52,1,2024-10-05,1,1,94,429,1,44,1,0
15,60,1,2023-09-05,1,1,20,94,1,50,1,0
16,60,1,2023-08-23,1,1,20,94,1,51,1,0
17,64,1,2024-03-05,1,18,259,1169,18,54,1,0
18,64,1,2024-07-12,1,18,259,1169,18,55,1,0
19,64,1,2024-08-04,1,18,259,1169,18,56,1,0
20,72,1,2023-03-23,1,3,136,622,3,61,1,0
21,75,1,2026-01-27,1,1,25,115,1,68,1,0
22,77,1,2026-07-13,1,1,76,342,1,73,1,0
23,81,1,2023-08-07,1,1,56,253,1,75,1,0
24,84,1,2024-02-27,1,22,270,1216,22,79,1,0
25,97,1,2024-06-16,1,8,206,933,8,92,1,0
26,101,1,2025-04-22,1,15,244,1108,15,93,1,0
27,103,1,2025-12-22,1,9,214,974,9,95,1,0
28,105,1,2024-05-27,1,15,247,1121,15,98,1,0
29,116,1,2024-10-16,1,12,230,1046,12,105,1,0
30,117,1,2025-04-16,1,1,49,221,1,106,1,0
31,118,1,2023-05-08,1,25,279,1256,25,107,1,0
32,127,1,2023-06-07,1,4,163,746,4,113,1,0
33,128,1,2025-09-13,1,1,47,215,1,115,1,0
34,131,1,2024-10-14,1,1,46,211,1,118,1,0
35,132,1,2026-02-04,1,5,176,808,5,119,1,0
36,136,1,2023-09-12,1,13,237,1077,13,122,1,0
37,136,1,2023-09-19,1,13,237,1077,13,123,1,0
38,138,1,2025-12-25,1,16,249,1131,16,125,1,0
39,139,1,2026-06-17,1,1,41,192,1,126,1,0
40,139,1,2026-04-29,1,1,41,192,1,127,1,0
41,141,1,2025-07-13,1,1,20,94,1,129,1,0
42,155,1,2025-12-18,1,5,169,774,5,140,1,0
43,155,1,2025-12-23,1,5,169,774,5,141,1,0
44,155,1,2025-12-30,1,5,169,774,5,142,1,0
45,156,1,2026-03-18,1,7,193,880,7,143,1,0
46,157,1,2026-05-14,1,26,282,1266,26,144,1,0
47,160,1,2023-12-14,1,4,158,721,4,147,1,0
48,178,1,2024-11-05,1,11,225,1025,11,156,1,0
49,187,1,2025-10-11,1,1,86,388,1,164,1,0
50,188,1,2023-04-29,1,1,119,545,1,165,1,0
51,193,1,2025-10-12,1,9,213,973,9,167,1,0
52,193,1,2025-09-30,1,9,213,973,9,168,1,0
53,194,1,2026-04-05,1,1,56,252,1,169,1,0
54,195,1,2026-07-13,1,8,204,924,8,170,1,0
55,195,1,2026-07-13,1,8,204,924,8,171,1,0
56,196,1,2024-11-19,1,1,13,59,1,172,1,0
57,197,1,2026-03-19,1,7,193,878,7,173,1,0
58,203,1,2023-06-04,1,5,180,825,5,176,1,0
59,203,1,2023-07-09,1,5,180,825,5,177,1,0
60,215,1,2023-04-27,1,1,41,194,1,186,1,0
61,216,1,2026-02-12,1,14,242,1099,14,187,1,0
62,216,1,2026-03-30,1,14,242,1099,14,188,1,0
63,216,1,2026-02-03,1,14,242,1099,14,189,1,0
64,222,1,2026-01-05,1,1,3,13,1,194,1,0
65,247,1,2026-07-13,1,1,27,124,1,213,1,0
66,247,1,2026-07-13,1,1,27,124,1,214,1,0
67,258,1,2026-07-13,1,4,164,752,4,220,1,0
68,266,1,2024-12-27,1,29,292,1316,29,227,1,0
69,267,1,2025-10-17,1,1,5,20,1,228,1,0
70,270,1,2026-07-13,1,25,280,1259,25,230,1,0
71,270,1,2026-07-10,1,25,280,1259,25,231,1,0
72,278,1,2025-01-26,1,1,7,31,1,233,1,0
73,278,1,2024-10-16,1,1,7,31,1,234,1,0
74,281,1,2023-01-22,1,4,156,715,4,236,1,0
75,297,1,2023-09-23,1,1,25,118,1,244,1,0
76,302,1,2024-12-25,1,1,108,492,1,246,1,0
77,305,1,2026-07-13,1,1,43,201,1,250,1,0
78,306,1,2025-04-24,1,1,68,305,1,251,1,0
79,306,1,2025-07-22,1,1,68,305,1,252,1,0
80,311,1,2026-04-29,1,1,88,398,1,253,1,0
81,321,1,2024-04-22,1,4,160,732,4,264,1,0
82,327,1,2026-05-08,1,1,24,109,1,267,1,0
83,335,1,2023-12-16,1,12,232,1053,12,272,1,0
84,337,1,2026-07-13,1,1,34,156,1,275,1,0
85,340,1,2023-04-03,1,1,106,486,1,276,1,0
86,344,1,2023-08-07,1,1,85,382,1,280,1,0
87,348,1,2025-09-21,1,3,143,653,3,282,1,0
88,348,1,2025-11-05,1,3,143,653,3,283,1,0
89,351,1,2026-05-28,1,9,212,964,9,286,1,0
90,351,1,2026-05-19,1,9,212,964,9,287,1,0
91,357,1,2023-04-25,1,1,87,391,1,291,1,0
92,359,1,2024-04-01,1,5,174,794,5,293,1,0
93,362,1,2024-03-08,1,1,27,123,1,296,1,0
94,362,1,2024-03-31,1,1,27,123,1,297,1,0
95,371,1,2026-07-13,1,1,101,458,1,309,1,0
96,371,1,2026-06-08,1,1,101,458,1,310,1,0
97,374,1,2024-03-15,1,23,273,1233,23,312,1,0
98,374,1,2023-11-24,1,23,273,1233,23,313,1,0
