CSID,CaseMasterID,csdate,cstype,PolicePersonID
1,2,2024-03-09 00:00:00,A,4
2,3,2024-08-04 00:00:00,A,303
3,4,2023-08-30 00:00:00,A,369
4,8,2023-11-28 00:00:00,C,1132
5,9,2026-07-13 00:00:00,A,447
6,10,2026-07-13 00:00:00,A,594
7,14,2026-05-24 00:00:00,C,12
8,16,2025-02-11 00:00:00,A,715
9,17,2024-02-11 00:00:00,A,675
10,18,2026-07-13 00:00:00,A,147
11,20,2023-11-01 00:00:00,A,1204
12,21,2026-04-19 00:00:00,C,632
13,22,2024-03-16 00:00:00,A,869
14,24,2024-12-17 00:00:00,A,608
15,25,2024-03-10 00:00:00,C,1068
16,27,2025-05-31 00:00:00,C,1333
17,28,2026-05-26 00:00:00,B,288
18,29,2024-02-20 00:00:00,A,375
19,32,2023-06-19 00:00:00,A,1252
20,34,2023-12-15 00:00:00,A,595
21,36,2024-04-24 00:00:00,A,1228
22,37,2024-03-28 00:00:00,A,870
23,38,2024-05-22 00:00:00,A,18
24,40,2023-12-09 00:00:00,B,897
25,41,2024-06-26 00:00:00,A,1118
26,43,2026-07-13 00:00:00,A,926
27,45,2024-01-21 00:00:00,C,901
28,47,2023-12-26 00:00:00,A,1029
29,48,2026-07-13 00:00:00,A,46
30,51,2026-07-13 00:00:00,C,528
31,52,2024-06-02 00:00:00,A,782
32,53,2024-04-25 00:00:00,A,1230
33,54,2025-03-04 00:00:00,A,277
34,55,2026-07-13 00:00:00,B,997
35,57,2025-11-05 00:00:00,A,510
36,58,2024-02-13 00:00:00,A,1053
37,59,2024-11-14 00:00:00,A,415
38,60,2026-07-13 00:00:00,A,882
39,61,2024-04-25 00:00:00,A,786
40,62,2025-05-03 00:00:00,A,507
41,63,2024-12-11 00:00:00,A,1248
42,64,2026-01-18 00:00:00,C,57
43,65,2024-05-22 00:00:00,A,66
44,66,2025-04-22 00:00:00,A,763
45,67,2026-07-13 00:00:00,C,494
46,68,2026-07-13 00:00:00,C,1253
47,70,2024-11-28 00:00:00,A,1055
48,75,2026-07-13 00:00:00,C,238
49,76,2024-12-16 00:00:00,A,1153
50,77,2025-02-18 00:00:00,B,466
51,78,2024-05-18 00:00:00,C,142
52,79,2024-04-05 00:00:00,B,258
53,80,2025-12-03 00:00:00,C,450
54,83,2026-07-13 00:00:00,A,985
55,85,2023-11-23 00:00:00,A,159
56,86,2026-04-29 00:00:00,A,341
57,87,2025-05-20 00:00:00,A,1171
58,89,2023-10-16 00:00:00,A,254
59,92,2024-06-02 00:00:00,A,1211
60,93,2025-10-23 00:00:00,A,609
61,94,2023-12-20 00:00:00,A,7
62,95,2026-04-10 00:00:00,A,793
63,97,2025-12-24 00:00:00,A,762
64,98,2025-10-18 00:00:00,A,897
65,102,2024-07-11 00:00:00,C,122
66,103,2026-07-13 00:00:00,C,499
67,109,2024-02-19 00:00:00,A,910
68,111,2023-11-13 00:00:00,C,287
69,112,2024-12-05 00:00:00,A,835
70,118,2026-07-13 00:00:00,A,21
71,119,2026-03-20 00:00:00,B,284
72,121,2025-09-09 00:00:00,A,966
73,122,2026-07-13 00:00:00,A,657
74,126,2025-06-02 00:00:00,C,671
75,129,2026-01-20 00:00:00,A,438
76,130,2025-07-13 00:00:00,A,259
77,131,2024-09-19 00:00:00,A,1110
78,132,2023-08-12 00:00:00,A,400
79,133,2024-04-23 00:00:00,C,363
80,134,2023-08-09 00:00:00,B,586
81,137,2024-01-14 00:00:00,B,1109
82,140,2025-01-03 00:00:00,A,506
83,141,2026-07-13 00:00:00,C,326
84,142,2023-10-02 00:00:00,B,972
85,144,2025-01-27 00:00:00,C,168
86,145,2026-07-13 00:00:00,C,1167
87,146,2023-12-08 00:00:00,A,585
88,148,2026-07-13 00:00:00,A,650
89,149,2026-07-13 00:00:00,A,763
90,150,2025-08-20 00:00:00,A,89
91,152,2024-01-05 00:00:00,A,1211
92,153,2026-03-28 00:00:00,A,1222
93,155,2026-06-07 00:00:00,C,694
94,156,2024-05-15 00:00:00,A,385
95,158,2024-07-11 00:00:00,A,282
96,159,2025-03-01 00:00:00,A,1034
97,162,2024-01-13 00:00:00,C,842
98,163,2025-01-22 00:00:00,A,1089
99,164,2023-09-26 00:00:00,A,660
100,165,2025-04-23 00:00:00,A,1060
101,166,2026-06-15 00:00:00,A,1014
102,167,2026-04-13 00:00:00,C,798
103,170,2024-11-27 00:00:00,B,799
104,172,2024-12-30 00:00:00,A,403
105,176,2023-11-30 00:00:00,A,329
106,177,2024-09-18 00:00:00,A,403
107,179,2025-08-30 00:00:00,A,728
108,182,2026-06-17 00:00:00,B,700
109,183,2024-01-09 00:00:00,A,650
110,185,2024-06-15 00:00:00,C,78
111,186,2026-05-14 00:00:00,A,961
112,188,2025-10-12 00:00:00,A,289
113,189,2026-01-06 00:00:00,A,938
114,193,2026-06-19 00:00:00,A,1306
115,194,2024-10-14 00:00:00,A,1178
116,195,2024-04-09 00:00:00,A,1308
117,196,2026-05-08 00:00:00,A,1138
118,197,2025-05-04 00:00:00,C,854
119,198,2023-10-25 00:00:00,A,1087
120,199,2024-01-07 00:00:00,A,990
121,200,2023-02-14 00:00:00,A,531
122,202,2024-06-17 00:00:00,A,415
123,205,2025-10-01 00:00:00,C,104
124,207,2026-04-06 00:00:00,A,51
125,208,2023-05-10 00:00:00,A,1185
126,211,2023-07-11 00:00:00,A,818
127,214,2026-07-13 00:00:00,A,494
128,215,2024-05-02 00:00:00,C,245
129,216,2023-06-06 00:00:00,A,497
130,218,2026-07-13 00:00:00,C,186
131,223,2023-10-10 00:00:00,A,184
132,224,2026-05-10 00:00:00,A,1094
133,227,2025-04-19 00:00:00,C,949
134,229,2025-05-09 00:00:00,C,70
135,230,2026-01-31 00:00:00,A,11
136,238,2024-10-18 00:00:00,A,276
137,241,2025-01-29 00:00:00,C,740
138,243,2025-01-18 00:00:00,B,780
139,245,2023-11-06 00:00:00,A,429
140,246,2025-03-15 00:00:00,A,1087
141,253,2025-08-10 00:00:00,C,932
142,255,2026-07-13 00:00:00,A,119
143,256,2024-04-28 00:00:00,A,1246
144,257,2026-06-10 00:00:00,B,790
145,258,2025-04-27 00:00:00,A,940
146,259,2023-06-14 00:00:00,A,57
147,261,2026-07-13 00:00:00,B,710
148,262,2026-07-02 00:00:00,B,466
149,264,2026-07-10 00:00:00,C,163
150,266,2026-07-13 00:00:00,A,740
151,270,2026-05-02 00:00:00,A,1131
152,271,2026-06-07 00:00:00,C,538
153,275,2024-04-02 00:00:00,C,116
154,276,2025-03-08 00:00:00,B,575
155,279,2026-07-13 00:00:00,A,849
156,280,2024-12-30 00:00:00,A,117
157,281,2024-04-24 00:00:00,A,1200
158,284,2026-01-22 00:00:00,A,157
159,285,2025-08-12 00:00:00,A,159
160,286,2024-07-12 00:00:00,A,818
161,287,2024-03-03 00:00:00,A,1113
162,288,2025-09-27 00:00:00,A,569
163,289,2026-07-13 00:00:00,B,867
164,292,2023-07-12 00:00:00,C,545
165,293,2026-07-13 00:00:00,B,816
166,294,2025-05-22 00:00:00,A,340
167,295,2025-12-09 00:00:00,C,390
168,297,2024-07-07 00:00:00,C,894
169,298,2023-02-08 00:00:00,A,93
170,299,2026-05-31 00:00:00,A,1121
171,301,2025-04-15 00:00:00,A,991
172,306,2025-06-16 00:00:00,A,1307
173,308,2026-07-13 00:00:00,C,366
174,312,2025-08-17 00:00:00,B,17
175,313,2024-12-20 00:00:00,A,1335
176,314,2024-06-24 00:00:00,A,1037
177,315,2024-12-19 00:00:00,B,315
178,323,2026-07-13 00:00:00,C,237
179,326,2024-10-28 00:00:00,C,431
180,328,2024-07-22 00:00:00,A,722
181,329,2023-07-22 00:00:00,A,168
182,330,2023-04-27 00:00:00,A,693
183,331,2026-07-13 00:00:00,C,806
184,332,2026-07-13 00:00:00,C,970
185,334,2026-06-20 00:00:00,A,102
186,336,2025-02-06 00:00:00,C,558
187,337,2026-04-30 00:00:00,C,448
188,338,2026-07-05 00:00:00,C,930
189,339,2026-07-13 00:00:00,A,631
190,342,2024-05-08 00:00:00,A,1049
191,344,2026-07-13 00:00:00,A,151
192,346,2024-08-13 00:00:00,A,204
193,347,2023-04-10 00:00:00,A,477
194,348,2024-06-14 00:00:00,A,242
195,350,2025-06-16 00:00:00,A,358
196,351,2023-08-24 00:00:00,A,377
197,353,2024-02-18 00:00:00,A,530
198,354,2026-07-13 00:00:00,A,112
199,355,2025-12-07 00:00:00,A,649
200,356,2024-01-21 00:00:00,C,628
201,358,2026-06-17 00:00:00,A,955
202,359,2026-06-26 00:00:00,A,789
203,362,2024-12-16 00:00:00,A,899
204,363,2026-05-12 00:00:00,A,320
205,366,2025-12-15 00:00:00,C,542
206,367,2026-02-21 00:00:00,A,155
207,368,2026-06-08 00:00:00,A,175
208,369,2026-02-24 00:00:00,A,1264
209,371,2025-07-28 00:00:00,A,329
210,374,2024-09-24 00:00:00,A,532
211,376,2023-07-15 00:00:00,C,73
212,377,2024-10-01 00:00:00,A,797
213,378,2026-07-13 00:00:00,A,451
214,381,2024-06-15 00:00:00,A,1225
215,382,2024-08-23 00:00:00,C,1061
216,383,2023-09-22 00:00:00,A,103
217,385,2024-01-13 00:00:00,A,452
218,387,2025-07-06 00:00:00,A,358
219,388,2024-01-15 00:00:00,A,625
220,389,2026-03-31 00:00:00,A,835
221,390,2024-11-08 00:00:00,A,726
222,391,2026-06-22 00:00:00,C,97
223,393,2026-01-13 00:00:00,A,298
224,395,2025-06-24 00:00:00,A,24
225,396,2025-03-28 00:00:00,A,1259
226,397,2023-07-14 00:00:00,B,609
227,398,2025-01-30 00:00:00,A,338
228,399,2025-11-24 00:00:00,A,908
229,400,2026-07-13 00:00:00,A,349
230,401,2025-06-16 00:00:00,A,293
231,403,2026-07-13 00:00:00,A,854
232,404,2025-11-13 00:00:00,A,717
233,405,2025-08-24 00:00:00,A,367
234,406,2024-05-19 00:00:00,A,883
235,407,2024-09-25 00:00:00,C,1139
236,408,2023-02-20 00:00:00,A,166
237,409,2026-04-10 00:00:00,A,190
238,411,2026-02-22 00:00:00,A,1016
239,412,2024-10-26 00:00:00,A,164
240,413,2026-07-13 00:00:00,A,975
241,414,2026-07-13 00:00:00,A,1037
242,416,2024-10-22 00:00:00,C,889
243,418,2024-04-27 00:00:00,C,690
244,419,2024-02-13 00:00:00,A,1306
245,420,2024-03-12 00:00:00,A,1084
246,422,2024-01-08 00:00:00,A,969
247,424,2024-01-07 00:00:00,A,940
248,427,2024-11-16 00:00:00,A,1241
249,428,2024-05-22 00:00:00,C,57
250,429,2026-04-12 00:00:00,A,288
251,431,2023-07-08 00:00:00,B,821
252,432,2026-01-04 00:00:00,B,1327
253,434,2026-05-31 00:00:00,C,935
254,435,2026-05-24 00:00:00,C,413
255,437,2024-02-12 00:00:00,A,1105
256,438,2026-07-13 00:00:00,A,1070
257,439,2024-03-29 00:00:00,C,326
258,443,2025-03-25 00:00:00,A,112
259,444,2026-03-20 00:00:00,A,106
260,445,2023-11-21 00:00:00,C,1244
261,447,2024-07-13 00:00:00,A,454
262,448,2024-02-15 00:00:00,A,420
263,449,2023-07-06 00:00:00,C,494
264,450,2023-08-15 00:00:00,A,98
265,451,2025-04-24 00:00:00,A,1232
266,452,2024-07-22 00:00:00,A,808
