row_key,district_name,crime_head,month,district_id,crime_head_id,month_index,month_of_year,lag_1,lag_2,lag_3,lag_12,roll_3,roll_6,roll_12,district_lag_1,head_share,target
1-1-2024-02,Bengaluru City,Crimes Against Body,2024-02,1,1,24289,2,49,79,64,66,64.0,65.167,63.75,500,0.098,56
1-1-2024-03,Bengaluru City,Crimes Against Body,2024-03,1,1,24290,3,56,49,79,67,61.333,64.0,62.917,481,0.1164,61
1-1-2024-04,Bengaluru City,Crimes Against Body,2024-04,1,1,24291,4,61,56,49,65,55.333,62.167,62.417,481,0.1268,62
1-1-2024-05,Bengaluru City,Crimes Against Body,2024-05,1,1,24292,5,62,61,56,58,59.667,61.833,62.167,489,0.1268,83
1-1-2024-06,Bengaluru City,Crimes Against Body,2024-06,1,1,24293,6,83,62,61,65,68.667,65.0,64.25,536,0.1549,64
1-1-2024-07,Bengaluru City,Crimes Against Body,2024-07,1,1,24294,7,64,83,62,53,69.667,62.5,64.167,485,0.132,59
1-1-2024-08,Bengaluru City,Crimes Against Body,2024-08,1,1,24295,8,59,64,83,63,68.667,64.167,64.667,439,0.1344,65
1-1-2024-09,Bengaluru City,Crimes Against Body,2024-09,1,1,24296,9,65,59,64,72,62.667,65.667,64.833,517,0.1257,63
1-1-2024-10,Bengaluru City,Crimes Against Body,2024-10,1,1,24297,10,63,65,59,64,62.333,66.0,64.083,491,0.1283,72
1-1-2024-11,Bengaluru City,Crimes Against Body,2024-11,1,1,24298,11,72,63,65,64,66.667,67.667,64.75,716,0.1006,71
1-1-2024-12,Bengaluru City,Crimes Against Body,2024-12,1,1,24299,12,71,72,63,79,68.667,65.667,65.333,685,0.1036,61
1-1-2025-01,Bengaluru City,Crimes Against Body,2025-01,1,1,24300,1,61,71,72,49,68.0,65.167,63.833,517,0.118,63
1-1-2025-02,Bengaluru City,Crimes Against Body,2025-02,1,1,24301,2,63,61,71,56,65.0,65.833,65.0,501,0.1257,59
1-1-2025-03,Bengaluru City,Crimes Against Body,2025-03,1,1,24302,3,59,63,61,61,61.0,64.833,65.25,474,0.1245,68
1-1-2025-04,Bengaluru City,Crimes Against Body,2025-04,1,1,24303,4,68,59,63,62,63.333,65.667,65.833,473,0.1438,95
1-1-2025-05,Bengaluru City,Crimes Against Body,2025-05,1,1,24304,5,95,68,59,83,74.0,69.5,68.583,481,0.1975,76
1-1-2025-06,Bengaluru City,Crimes Against Body,2025-06,1,1,24305,6,76,95,68,64,79.667,70.333,68.0,493,0.1542,60
1-1-2025-07,Bengaluru City,Crimes Against Body,2025-07,1,1,24306,7,60,76,95,59,77.0,70.167,67.667,487,0.1232,90
1-1-2025-08,Bengaluru City,Crimes Against Body,2025-08,1,1,24307,8,90,60,76,65,75.333,74.667,70.25,514,0.1751,48
1-1-2025-09,Bengaluru City,Crimes Against Body,2025-09,1,1,24308,9,48,90,60,63,66.0,72.833,68.833,484,0.0992,59
1-1-2025-10,Bengaluru City,Crimes Against Body,2025-10,1,1,24309,10,59,48,90,72,65.667,71.333,68.5,465,0.1269,60
1-1-2025-11,Bengaluru City,Crimes Against Body,2025-11,1,1,24310,11,60,59,48,71,55.667,65.5,67.5,660,0.0909,61
1-1-2025-12,Bengaluru City,Crimes Against Body,2025-12,1,1,24311,12,61,60,59,61,60.0,63.0,66.667,668,0.0913,52
1-1-2026-01,Bengaluru City,Crimes Against Body,2026-01,1,1,24312,1,52,61,60,63,57.667,61.667,65.917,529,0.0983,139
1-1-2026-02,Bengaluru City,Crimes Against Body,2026-02,1,1,24313,2,139,52,61,59,84.0,69.833,72.25,931,0.1493,114
1-1-2026-03,Bengaluru City,Crimes Against Body,2026-03,1,1,24314,3,114,139,52,68,101.667,80.833,76.833,849,0.1343,153
