row_key,district_name,crime_head,month,district_id,crime_head_id,month_index,month_of_year,lag_1,lag_2,lag_3,lag_12,roll_3,roll_6,roll_12,district_lag_1,head_share,std_6,std_12,accel_3_12,accel_1_12,head_state_lag_1,head_state_roll_3,state_lag_1,state_roll_3,head_state_share,district_roll_3,district_accel,detected_share_lag_1,detected_roll_6,population_m,literacy_pct,urban_pct,pop_density_k,days_in_month,target_spike,target_count,spike_eligible
1-0-2024-02,Bengaluru City,All,2024-02,1,0,24289,2,500,535,751,459,595.333,575.5,522.167,500,1.0,116.797,99.181,1.1401,0.9575,1240,1432.33,1240,1432.33,1.0,595.33,0.9575,0.532,303.5,9.945,88.7,98.0,13.421,28,0,481,1
1-0-2024-03,Bengaluru City,All,2024-03,1,0,24290,3,481,500,535,497,505.333,576.5,524.0,481,1.0,115.955,98.195,0.9644,0.9179,1148,1225.0,1148,1225.0,1.0,505.33,0.9179,0.553,308.5,9.945,88.7,98.0,13.421,31,0,481,1
1-0-2024-04,Bengaluru City,All,2024-04,1,0,24291,4,481,481,500,454,487.333,578.667,522.667,481,1.0,114.013,98.66,0.9324,0.9203,1171,1186.33,1171,1186.33,1.0,487.33,0.9203,0.5509,311.5,9.945,88.7,98.0,13.421,30,0,489,1
1-0-2024-05,Bengaluru City,All,2024-05,1,0,24292,5,489,481,481,484,483.667,539.5,525.583,489,1.0,96.357,97.091,0.9202,0.9304,1175,1164.67,1175,1164.67,1.0,483.67,0.9304,0.5358,289.5,9.945,88.7,98.0,13.421,31,0,536,1
1-0-2024-06,Bengaluru City,All,2024-06,1,0,24293,6,536,489,481,443,502.0,503.667,529.917,536,1.0,23.393,96.296,0.9473,1.0115,1270,1205.33,1270,1205.33,1.0,502.0,1.0115,0.5485,271.83,9.945,88.7,98.0,13.421,30,0,485,1
1-0-2024-07,Bengaluru City,All,2024-07,1,0,24294,7,485,536,489,476,503.333,495.333,533.417,485,1.0,19.293,93.804,0.9436,0.9092,1177,1207.33,1177,1207.33,1.0,503.33,0.9092,0.5381,269.0,9.945,88.7,98.0,13.421,31,0,439,1
1-0-2024-08,Bengaluru City,All,2024-08,1,0,24295,8,439,485,536,475,486.667,485.167,530.333,439,1.0,28.18,96.218,0.9177,0.8278,1103,1183.33,1103,1183.33,1.0,486.67,0.8278,0.5626,265.83,9.945,88.7,98.0,13.421,31,0,517,1
1-0-2024-09,Bengaluru City,All,2024-09,1,0,24296,9,517,439,485,468,480.333,491.167,533.833,517,1.0,30.4,94.896,0.8998,0.9685,1214,1164.67,1214,1164.67,1.0,480.33,0.9685,0.4874,263.5,9.945,88.7,98.0,13.421,30,0,491,1
1-0-2024-10,Bengaluru City,All,2024-10,1,0,24297,10,491,517,439,724,482.333,492.833,535.75,491,1.0,30.069,93.773,0.9003,0.9165,1190,1169.0,1190,1169.0,1.0,482.33,0.9165,0.5479,264.17,9.945,88.7,98.0,13.421,31,1,716,1
1-0-2024-11,Bengaluru City,All,2024-11,1,0,24298,11,716,491,517,751,574.667,530.667,535.083,716,1.0,88.153,92.451,1.074,1.3381,1701,1368.33,1701,1368.33,1.0,574.67,1.3381,0.5307,283.83,9.945,88.7,98.0,13.421,30,0,685,1
1-0-2024-12,Bengaluru City,All,2024-12,1,0,24299,12,685,716,491,535,630.667,555.5,529.583,685,1.0,105.448,80.653,1.1909,1.2935,1744,1545.0,1744,1545.0,1.0,630.67,1.2935,0.4949,291.33,9.945,88.7,98.0,13.421,31,0,517,1
1-0-2025-01,Bengaluru City,All,2025-01,1,0,24300,1,517,685,716,500,639.333,560.833,528.083,517,1.0,102.516,80.706,1.2107,0.979,1290,1578.33,1290,1578.33,1.0,639.33,0.979,0.5899,298.67,9.945,88.7,98.0,13.421,31,0,501,1
1-0-2025-02,Bengaluru City,All,2025-02,1,0,24301,2,501,517,685,481,567.667,571.167,528.167,501,1.0,92.333,80.677,1.0748,0.9486,1210,1414.67,1210,1414.67,1.0,567.67,0.9486,0.497,299.0,9.945,88.7,98.0,13.421,28,0,474,1
1-0-2025-03,Bengaluru City,All,2025-03,1,0,24302,3,474,501,517,481,497.333,564.0,527.583,474,1.0,97.768,81.041,0.9427,0.8984,1077,1192.33,1077,1192.33,1.0,497.33,0.8984,0.5274,298.67,9.945,88.7,98.0,13.421,31,0,473,1
1-0-2025-04,Bengaluru City,All,2025-04,1,0,24303,4,473,474,501,489,482.667,561.0,526.917,473,1.0,100.208,81.453,0.916,0.8977,1168,1151.67,1168,1151.67,1.0,482.67,0.8977,0.5328,295.83,9.945,88.7,98.0,13.421,30,0,481,1
1-0-2025-05,Bengaluru City,All,2025-05,1,0,24304,5,481,473,474,536,476.0,521.833,526.25,481,1.0,74.633,81.793,0.9045,0.914,1168,1137.67,1168,1137.67,1.0,476.0,0.914,0.526,274.67,9.945,88.7,98.0,13.421,31,0,493,1
1-0-2025-06,Bengaluru City,All,2025-06,1,0,24305,6,493,481,473,485,482.333,489.833,522.667,493,1.0,15.731,82.228,0.9228,0.9432,1190,1175.33,1190,1175.33,1.0,482.33,0.9432,0.5355,262.17,9.945,88.7,98.0,13.421,30,0,487,1
1-0-2025-07,Bengaluru City,All,2025-07,1,0,24306,7,487,493,481,439,487.0,484.833,522.833,487,1.0,10.04,82.153,0.9315,0.9315,1187,1181.67,1187,1181.67,1.0,487.0,0.9315,0.5544,256.33,9.945,88.7,98.0,13.421,31,0,514,1
1-0-2025-08,Bengaluru City,All,2025-08,1,0,24307,8,514,487,493,517,498.0,487.0,529.083,514,1.0,13.94,78.3,0.9413,0.9715,1190,1189.0,1190,1189.0,1.0,498.0,0.9715,0.5311,260.33,9.945,88.7,98.0,13.421,31,0,484,1
1-0-2025-09,Bengaluru City,All,2025-09,1,0,24308,9,484,514,487,491,495.0,488.667,526.333,484,1.0,12.841,79.25,0.9405,0.9196,1214,1197.0,1214,1197.0,1.0,495.0,0.9196,0.5475,262.83,9.945,88.7,98.0,13.421,30,0,465,1
1-0-2025-10,Bengaluru City,All,2025-10,1,0,24309,10,465,484,514,716,487.667,487.333,524.167,465,1.0,14.682,80.531,0.9304,0.8871,1104,1169.33,1104,1169.33,1.0,487.67,0.8871,0.5441,263.0,9.945,88.7,98.0,13.421,31,0,660,1
1-0-2025-11,Bengaluru City,All,2025-11,1,0,24310,11,660,465,484,685,536.333,517.167,519.5,660,1.0,65.481,70.245,1.0324,1.2705,1707,1341.67,1707,1341.67,1.0,536.33,1.2705,0.547,281.0,9.945,88.7,98.0,13.421,30,0,668,1
1-0-2025-12,Bengaluru City,All,2025-12,1,0,24311,12,668,660,465,517,597.667,546.333,518.083,668,1.0,84.449,66.989,1.1536,1.2894,1697,1502.67,1697,1502.67,1.0,597.67,1.2894,0.518,294.67,9.945,88.7,98.0,13.421,31,0,529,1
1-0-2026-01,Bengaluru City,All,2026-01,1,0,24312,1,529,668,660,501,619.0,553.333,519.083,529,1.0,80.907,67.055,1.1925,1.0191,1284,1562.67,1284,1562.67,1.0,619.0,1.0191,0.4972,293.5,9.945,88.7,98.0,13.421,31,1,931,1
1-0-2026-02,Bengaluru City,All,2026-02,1,0,24313,2,931,529,668,474,709.333,622.833,554.917,931,1.0,158.839,131.623,1.2783,1.6777,2265,1748.67,2265,1748.67,1.0,709.33,1.6777,0.5263,329.67,9.945,88.7,98.0,13.421,28,0,849,1
1-0-2026-03,Bengaluru City,All,2026-03,1,0,24314,3,849,931,529,473,769.667,683.667,586.167,849,1.0,163.835,151.689,1.3131,1.4484,2094,1881.0,2094,1881.0,1.0,769.67,1.4484,0.5395,361.83,9.945,88.7,98.0,13.421,31,0,996,1
1-0-2026-04,Bengaluru City,All,2026-04,1,0,24315,4,996,849,931,481,925.333,772.167,629.75,996,1.0,165.225,184.499,1.4694,1.5816,2455,2271.33,2455,2271.33,1.0,925.33,1.5816,0.5382,409.0,9.945,88.7,98.0,13.421,30,0,947,1
1-0-2026-05,Bengaluru City,All,2026-05,1,0,24316,5,947,996,849,493,930.667,820.0,668.583,947,1.0,167.358,197.675,1.392,1.4164,2324,2291.0,2324,2291.0,1.0,930.67,1.4164,0.5354,433.33,9.945,88.7,98.0,13.421,31,0,1026,1
1-0-2026-06,Bengaluru City,All,2026-06,1,0,24317,6,1026,947,996,487,989.667,879.667,713.0,1026,1.0,166.345,212.553,1.388,1.439,2456,2411.67,2456,2411.67,1.0,989.67,1.439,0.5234,465.17,9.945,88.7,98.0,13.421,30,0,998,1
10-0-2024-02,Shivamogga,All,2024-02,10,0,24289,2,28,27,29,29,28.0,28.167,27.0,28,1.0,5.273,4.899,1.037,1.037,1240,1432.33,1240,1432.33,1.0,28.0,1.037,0.4643,15.17,2.051,80.5,35.4,0.242,28,0,26,1
10-0-2024-03,Shivamogga,All,2024-03,10,0,24290,3,26,28,27,23,27.0,28.0,26.75,26,1.0,5.323,4.867,1.0093,0.972,1148,1225.0,1148,1225.0,1.0,27.0,0.972,0.6538,15.83,2.051,80.5,35.4,0.242,31,0,24,1
10-0-2024-04,Shivamogga,All,2024-04,10,0,24291,4,24,26,28,29,26.0,28.667,26.833,24,1.0,4.46,4.81,0.9689,0.8944,1171,1186.33,1171,1186.33,1.0,26.0,0.8944,0.75,16.17,2.051,80.5,35.4,0.242,30,0,26,1
10-0-2024-05,Shivamogga,All,2024-05,10,0,24292,5,26,24,26,24,25.333,26.667,26.583,26,1.0,1.599,4.769,0.953,0.9781,1175,1164.67,1175,1164.67,1.0,25.33,0.9781,0.4615,13.83,2.051,80.5,35.4,0.242,31,0,18,1
10-0-2024-06,Shivamogga,All,2024-06,10,0,24293,6,18,26,24,31,22.667,24.833,26.083,18,1.0,3.287,5.299,0.869,0.6901,1270,1205.33,1270,1205.33,1.0,22.67,0.6901,0.4444,13.33,2.051,80.5,35.4,0.242,30,0,28,1
10-0-2024-07,Shivamogga,All,2024-07,10,0,24294,7,28,18,26,19,24.0,25.0,25.833,28,1.0,3.416,5.129,0.929,1.0839,1177,1207.33,1177,1207.33,1.0,24.0,1.0839,0.5357,13.83,2.051,80.5,35.4,0.242,31,0,25,1
10-0-2024-08,Shivamogga,All,2024-08,10,0,24295,8,25,28,18,27,23.667,24.5,26.333,25,1.0,3.149,4.714,0.8987,0.9494,1103,1183.33,1103,1183.33,1.0,23.67,0.9494,0.56,14.0,2.051,80.5,35.4,0.242,31,0,21,1
10-0-2024-09,Shivamogga,All,2024-09,10,0,24296,9,21,25,28,20,24.667,23.667,25.833,21,1.0,3.3,4.93,0.9548,0.8129,1214,1164.67,1214,1164.67,1.0,24.67,0.8129,0.4762,12.83,2.051,80.5,35.4,0.242,30,0,22,1
10-0-2024-10,Shivamogga,All,2024-10,10,0,24297,10,22,21,25,38,22.667,23.333,26.0,22,1.0,3.35,4.761,0.8718,0.8462,1190,1169.0,1190,1169.0,1.0,22.67,0.8462,0.3636,11.17,2.051,80.5,35.4,0.242,31,1,35,1
10-0-2024-11,Shivamogga,All,2024-11,10,0,24298,11,35,22,21,29,26.0,24.833,25.75,35,1.0,5.52,4.166,1.0097,1.3592,1701,1368.33,1701,1368.33,1.0,26.0,1.3592,0.6286,12.83,2.051,80.5,35.4,0.242,30,0,32,1
10-0-2024-12,Shivamogga,All,2024-12,10,0,24299,12,32,35,22,27,29.667,27.167,26.0,32,1.0,5.08,4.435,1.141,1.2308,1744,1545.0,1744,1545.0,1.0,29.67,1.2308,0.625,14.83,2.051,80.5,35.4,0.242,31,0,22,1
10-0-2025-01,Shivamogga,All,2025-01,10,0,24300,1,22,32,35,28,29.667,26.167,25.583,22,1.0,5.398,4.554,1.1596,0.8599,1290,1578.33,1290,1578.33,1.0,29.67,0.8599,0.5455,14.33,2.051,80.5,35.4,0.242,31,0,25,1
