prior_cases,days_since_last,span_days,rate_per_yr,n_districts,n_heads,heinous,target_back_180
1,146,146,1.0,1,1,0,0
1,176,176,1.0,1,1,0,0
1,206,206,1.0,1,1,0,0
1,236,236,1.0,1,1,0,0
1,266,266,1.0,1,1,0,0
1,296,296,1.0,1,1,0,0
1,326,326,1.0,1,1,0,0
1,356,356,1.0,1,1,0,0
1,386,386,0.9462,1,1,0,0
1,416,416,0.878,1,1,0,0
1,446,446,0.8189,1,1,0,0
1,476,476,0.7673,1,1,0,0
1,506,506,0.7218,1,1,0,0
1,536,536,0.6814,1,1,0,0
1,566,566,0.6453,1,1,0,0
1,596,596,0.6128,1,1,0,0
1,626,626,0.5835,1,1,0,0
1,656,656,0.5568,1,1,0,0
1,686,686,0.5324,1,1,0,0
1,716,716,0.5101,1,1,0,0
1,746,746,0.4896,1,1,0,1
1,776,776,0.4707,1,1,0,1
1,806,806,0.4532,1,1,0,1
1,836,836,0.4369,1,1,0,1
1,866,866,0.4218,1,1,0,1
1,21,21,1.0,1,1,1,1
1,51,51,1.0,1,1,1,1
2,24,81,2.0,2,2,1,0
2,54,111,2.0,2,2,1,0
2,84,141,2.0,2,2,1,0
2,114,171,2.0,2,2,1,1
2,144,201,2.0,2,2,1,1
2,174,231,2.0,2,2,1,1
2,204,261,2.0,2,2,1,1
2,234,291,2.0,2,2,1,1
2,264,321,2.0,2,2,1,1
3,12,351,3.0,3,3,1,0
3,42,381,2.876,3,3,1,0
3,72,411,2.6661,3,3,1,0
3,102,441,2.4847,3,3,1,0
3,132,471,2.3264,3,3,1,0
3,162,501,2.1871,3,3,1,0
3,192,531,2.0636,3,3,1,0
3,222,561,1.9532,3,3,1,0
1,19,19,1.0,1,1,0,1
1,49,49,1.0,1,1,0,1
1,79,79,1.0,1,1,0,1
1,109,109,1.0,1,1,0,1
1,139,139,1.0,1,1,0,1
1,169,169,1.0,1,1,0,1
3,0,199,3.0,3,2,0,0
3,30,229,3.0,3,2,0,0
3,60,259,3.0,3,2,0,0
3,90,289,3.0,3,2,0,0
