prior_cases,days_since_last,span_days,rate_per_yr,n_districts,n_heads,heinous,target_women_365
1,146,146,1.0,1,1,0,0
1,176,176,1.0,1,1,0,0
1,206,206,1.0,1,1,0,0
1,236,236,1.0,1,1,0,0
1,266,266,1.0,1,1,0,0
1,296,296,1.0,1,1,0,0
1,326,326,1.0,1,1,0,0
1,356,356,1.0,1,1,0,0
1,386,386,0.9462,1,1,0,0
1,416,416,0.878,1,1,0,0
1,446,446,0.8189,1,1,0,0
1,476,476,0.7673,1,1,0,0
1,506,506,0.7218,1,1,0,0
1,536,536,0.6814,1,1,0,0
1,566,566,0.6453,1,1,0,0
1,596,596,0.6128,1,1,0,0
1,626,626,0.5835,1,1,0,0
1,656,656,0.5568,1,1,0,0
1,686,686,0.5324,1,1,0,0
1,21,21,1.0,1,1,1,0
1,51,51,1.0,1,1,1,0
2,24,81,2.0,2,2,1,0
2,54,111,2.0,2,2,1,0
2,84,141,2.0,2,2,1,0
2,114,171,2.0,2,2,1,0
2,144,201,2.0,2,2,1,0
2,174,231,2.0,2,2,1,0
2,204,261,2.0,2,2,1,0
2,234,291,2.0,2,2,1,0
2,264,321,2.0,2,2,1,0
3,12,351,3.0,3,3,1,0
3,42,381,2.876,3,3,1,0
1,19,19,1.0,1,1,0,0
1,49,49,1.0,1,1,0,0
1,79,79,1.0,1,1,0,0
1,109,109,1.0,1,1,0,0
1,139,139,1.0,1,1,0,0
1,169,169,1.0,1,1,0,0
3,0,199,3.0,3,2,0,0
3,30,229,3.0,3,2,0,0
3,60,259,3.0,3,2,0,0
3,90,289,3.0,3,2,0,0
3,120,319,3.0,3,2,0,0
3,150,349,3.0,3,2,0,0
3,180,379,2.8912,3,2,0,0
3,210,409,2.6791,3,2,0,0
3,240,439,2.496,3,2,0,0
3,270,469,2.3364,3,2,0,0
3,300,499,2.1959,3,2,0,0
3,330,529,2.0714,3,2,0,0
1,215,215,1.0,1,1,0,0
1,245,245,1.0,1,1,0,0
1,275,275,1.0,1,1,0,0
2,18,305,2.0,2,2,0,0
