backlog,open_cases,inflow,cleared,backlog_heinous,backlog_lag1,backlog_lag2,backlog_lag3,cleared_lag1,cleared_lag2,cleared_lag3,inflow_lag1,inflow_lag2,inflow_lag3,backlog_mean3,cleared_mean3,inflow_mean3,growth_3mo,growth_1mo,clearance_rate,clearance_rate_3mo,load,stale_share,heinous_share,month_of_year,target_backlog_up_20pct_3mo
14,23,2,1,2,9,7,2,1,0,0,9,4,2,6.0,0.3333,5.0,2.3333,1.5556,0.0714,0.0556,6.0,0.6087,0.1429,6,1
16,23,2,2,2,14,9,7,1,1,0,2,9,4,10.0,0.6667,5.0,1.6,1.1429,0.125,0.0667,3.0,0.6957,0.125,7,0
19,23,3,3,4,16,14,9,2,1,1,2,2,9,13.0,1.3333,4.3333,1.4615,1.1875,0.1579,0.1026,2.25,0.8261,0.2105,8,1
17,25,4,2,4,19,16,14,3,2,1,3,2,2,16.3333,2.0,2.3333,1.0408,0.8947,0.1176,0.1224,2.0,0.68,0.2353,9,1
18,32,9,2,5,17,19,16,2,3,2,4,3,2,17.3333,2.3333,3.0,1.0385,1.0588,0.1111,0.1346,3.8571,0.5625,0.2778,10,1
23,40,8,0,6,18,17,19,2,2,3,9,4,3,18.0,2.3333,5.3333,1.2778,1.2778,0.0,0.1296,3.4286,0.575,0.2609,11,1
29,45,7,2,6,23,18,17,0,2,2,8,9,4,19.3333,1.3333,7.0,1.5,1.2609,0.069,0.069,5.25,0.6444,0.2069,12,1
38,46,2,1,8,29,23,18,2,0,2,7,8,9,23.3333,1.3333,8.0,1.6286,1.3103,0.0263,0.0571,1.5,0.8261,0.2105,1,0
43,49,4,1,9,38,29,23,1,2,0,2,7,8,30.0,1.0,5.6667,1.4333,1.1316,0.0233,0.0333,4.0,0.8776,0.2093,2,0
42,51,4,2,9,43,38,29,1,1,2,4,2,7,36.6667,1.3333,4.3333,1.1455,0.9767,0.0476,0.0364,3.0,0.8235,0.2143,3,1
45,58,8,1,10,42,43,38,2,1,1,4,4,2,41.0,1.3333,3.3333,1.0976,1.0714,0.0222,0.0325,6.0,0.7759,0.2222,4,1
49,62,7,3,11,45,42,43,1,2,1,8,4,4,43.3333,1.3333,5.3333,1.1308,1.0889,0.0612,0.0308,5.25,0.7903,0.2245,5,0
51,62,5,5,11,49,45,42,3,1,2,7,8,4,45.3333,2.0,6.3333,1.125,1.0408,0.098,0.0441,2.5,0.8226,0.2157,6,0
56,65,3,0,12,51,49,45,5,3,1,5,7,8,48.3333,3.0,6.6667,1.1586,1.098,0.0,0.0621,1.0,0.8615,0.2143,7,0
58,65,3,3,12,56,51,49,0,5,3,3,5,7,52.0,2.6667,5.0,1.1154,1.0357,0.0517,0.0513,1.125,0.8923,0.2069,8,0
59,67,4,2,15,58,56,51,3,0,5,3,3,5,55.0,2.6667,3.6667,1.0727,1.0172,0.0339,0.0485,1.5,0.8806,0.2542,9,0
59,71,7,3,16,59,58,56,2,3,0,4,3,3,57.6667,1.6667,3.3333,1.0231,1.0,0.0508,0.0289,4.2,0.831,0.2712,10,1
64,77,7,1,17,59,59,58,3,2,3,7,4,3,58.6667,2.6667,4.6667,1.0909,1.0847,0.0156,0.0455,2.625,0.8312,0.2656,11,0
66,80,6,3,17,64,59,59,1,3,2,7,7,4,60.6667,2.0,6.0,1.0879,1.0312,0.0455,0.033,3.0,0.825,0.2576,12,1
72,81,4,3,18,66,64,59,3,1,3,6,7,7,63.0,2.3333,6.6667,1.1429,1.0909,0.0417,0.037,1.7143,0.8889,0.25,1,0
76,83,2,0,18,72,66,64,3,3,1,4,6,7,67.3333,2.3333,5.6667,1.1287,1.0556,0.0,0.0347,0.8571,0.9157,0.2368,2,0
80,86,3,0,19,76,72,66,0,3,3,2,4,6,71.3333,2.0,4.0,1.1215,1.0526,0.0,0.028,1.5,0.9302,0.2375,3,0
80,84,1,3,19,80,76,72,0,0,3,3,2,4,76.0,1.0,3.0,1.0526,1.0,0.0375,0.0132,1.0,0.9524,0.2375,4,0
