row_key,district_id,crime_head_id,month_index,month_of_year,lag_1,lag_2,lag_3,lag_12,roll_3,roll_6,roll_12,district_lag_1,head_share,std_6,std_12,accel_3_12,accel_1_12,head_state_lag_1,head_state_roll_3,state_lag_1,state_roll_3,head_state_share,district_roll_3,district_accel,detected_share_lag_1,detected_roll_6,population_m,literacy_pct,urban_pct,pop_density_k,days_in_month,target_spike
1-1-2024-02,1,1,24289,2,49,79,64,66,64.0,65.167,63.75,500,0.098,9.191,7.562,1.0039,0.7686,146,158.67,1240,1432.33,0.1177,595.33,0.9575,0.5918,35.0,9.945,88.7,98.0,13.421,28,0
1-1-2024-03,1,1,24290,3,56,49,79,67,61.333,64.0,62.917,481,0.1164,9.815,7.815,0.9748,0.8901,168,162.33,1148,1225.0,0.1463,505.33,0.9179,0.625,35.0,9.945,88.7,98.0,13.421,31,0
1-1-2024-04,1,1,24291,4,61,56,49,65,55.333,62.167,62.417,481,0.1268,9.155,7.729,0.8865,0.9773,170,161.33,1171,1186.33,0.1452,487.33,0.9203,0.5902,34.33,9.945,88.7,98.0,13.421,30,0
1-1-2024-05,1,1,24292,5,62,61,56,58,59.667,61.833,62.167,489,0.1268,9.118,7.69,0.9598,0.9973,182,173.33,1175,1164.67,0.1549,483.67,0.9304,0.5323,34.5,9.945,88.7,98.0,13.421,31,0
1-1-2024-06,1,1,24293,6,83,62,61,65,68.667,65.0,64.25,536,0.1549,12.124,9.462,1.0687,1.2918,174,175.33,1270,1205.33,0.137,502.0,1.0115,0.6024,38.17,9.945,88.7,98.0,13.421,30,0
1-1-2024-07,1,1,24294,7,64,83,62,53,69.667,62.5,64.167,485,0.132,10.404,9.459,1.0857,0.9974,147,167.67,1177,1207.33,0.1249,503.33,0.9092,0.5312,36.17,9.945,88.7,98.0,13.421,31,0
1-1-2024-08,1,1,24295,8,59,64,83,63,68.667,64.167,64.667,439,0.1344,8.783,9.003,1.0619,0.9124,149,156.67,1103,1183.33,0.1351,486.67,0.8278,0.661,37.83,9.945,88.7,98.0,13.421,31,0
1-1-2024-09,1,1,24296,9,65,59,64,72,62.667,65.667,64.833,517,0.1257,7.993,8.989,0.9666,1.0026,169,155.0,1214,1164.67,0.1392,480.33,0.9685,0.6154,38.67,9.945,88.7,98.0,13.421,30,0
1-1-2024-10,1,1,24297,10,63,65,59,64,62.333,66.0,64.083,491,0.1283,7.832,8.732,0.9727,0.9831,135,151.0,1190,1169.0,0.1134,482.33,0.9165,0.5556,38.5,9.945,88.7,98.0,13.421,31,0
1-1-2024-11,1,1,24298,11,72,63,65,64,66.667,67.667,64.75,716,0.1006,7.867,9.001,1.0296,1.112,154,152.67,1701,1368.33,0.0905,574.67,1.3381,0.5417,39.5,9.945,88.7,98.0,13.421,30,0
1-1-2024-12,1,1,24299,12,71,72,63,79,68.667,65.667,65.333,685,0.1036,4.534,9.159,1.051,1.0867,175,154.67,1744,1545.0,0.1003,630.67,1.2935,0.4789,36.83,9.945,88.7,98.0,13.421,31,0
1-1-2025-01,1,1,24300,1,61,71,72,49,68.0,65.167,63.833,517,0.118,4.845,8.224,1.0653,0.9556,151,160.0,1290,1578.33,0.1171,639.33,0.979,0.6557,37.83,9.945,88.7,98.0,13.421,31,0
1-1-2025-02,1,1,24301,2,63,61,71,56,65.0,65.833,65.0,501,0.1257,4.18,6.928,1.0,0.9692,162,162.67,1210,1414.67,0.1339,567.67,0.9486,0.5079,36.67,9.945,88.7,98.0,13.421,28,0
1-1-2025-03,1,1,24302,3,59,63,61,61,61.0,64.833,65.25,474,0.1245,4.913,6.647,0.9349,0.9042,131,148.0,1077,1192.33,0.1216,497.33,0.8984,0.5593,35.5,9.945,88.7,98.0,13.421,31,0
1-1-2025-04,1,1,24303,4,68,59,63,62,63.333,65.667,65.833,473,0.1438,4.955,6.555,0.962,1.0329,159,150.67,1168,1151.67,0.1361,482.67,0.8977,0.5441,35.83,9.945,88.7,98.0,13.421,30,1
1-1-2025-05,1,1,24304,5,95,68,59,83,74.0,69.5,68.583,481,0.1975,12.107,10.251,1.079,1.3852,199,163.0,1168,1137.67,0.1704,476.0,0.914,0.4842,37.0,9.945,88.7,98.0,13.421,31,0
